Code/Key,Natural Language Description,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
dpsf0080003,caucasian,NEUTRAL,0.0
dpsf0080004,african american,NEUTRAL,0.0
dpsf0080005,american indian,NEUTRAL,0.0
dpsf0080006,asian,NEUTRAL,0.0
dpsf0080014,native hawaiian,NEUTRAL,0.0
dpsf0080019,unspecified race,NEUTRAL,0.0
dpsf0080020,mixed race,NEUTRAL,0.0
