Code/Key,Natural Language Description,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
H0030002,one,NEUTRAL,0.0
H0030003,two,NEUTRAL,0.0
H0030004,three,NEUTRAL,0.0
H0030005,four,NEUTRAL,0.0
H0030006,five,NEUTRAL,0.0
